Perfil,X,Y
1,340104.9514,6333737.514
2,340094.7147,6333754.198
3,340083.8275,6333771.357
4,340072.9717,6333787.811
5,340062.4552,6333804.926
6,340051.7237,6333821.802
7,340041.5628,6333838.883
8,340030.1194,6333855.377
9,340019.5873,6333872.297
10,340010.4911,6333890.691
11,339996.8409,6333905.13
12,339987.2076,6333922.947
13,339975.9051,6333939.737
14,339963.4511,6333954.934
15,339954.6544,6333973.181
16,339939.0618,6333987.014
17,339932.8209,6334006.978
18,339921.9151,6334023.683
19,339911.0103,6334040.475
20,339900.4131,6334057.495
21,339889.5203,6334074.181
22,339877.857,6334090.327
23,339867.9803,6334108.14
24,339857.3248,6334124.723
25,339845.2708,6334140.74
26,339833.5828,6334158.533
27,339824.7827,6334175.097
28,339813.933,6334192.067
29,339800.9622,6334197.252
